id,score,product_code,product_image_url,product_name,product_meta_score,created_at,type,filtered_message,color,size
139552,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-07T15:35:50+09:00,0,유명하다해서 알고있긴 했는데 진짜 너무 예뻐요 유니클로 C라인 스웻들 보면 엄청 부드러운 다른 스웻팬츠들이랑 다른 소재잖아요? 그거랑 비슷합니다 근데 젤 좋은 건 주머니나 밴딩 부분이 엄청나게 미니멀하게 되어있어서 츄리닝에도 불구하고 되게 멋스러운 느낌이 나요 허리 밴딩부분이 얇아서 크롭 상의랑 매치했을 때 진짜 예뿝니다 ..  . ///,(15)GRAY,L(080)
139548,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-07T15:18:20+09:00,0,길이 핏 너무 좋아요~ 근데 소재가 조금 아쉽네요 폴리같아요,(19)BLACK,M(075)
139544,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-07T12:16:13+09:00,0,핏이 진짜 예뻐요! 맨날 트레이닝 팬츠만 입고 다니는데 핏 예뻐서 손이 자주 가는 것 같아요… 색두 넘 맘에 들고 평소에 잘 입고 있습니다 👍🏻,(16)LIGHT GRAY,M(075)
139526,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-07T01:57:13+09:00,0,진짜 ~~ 편하고 핏이 너무 예뻐요! 주머니에 있는 스터드 디테일까지 넘 맘에 들어요,(19)BLACK,L(080)
139518,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-06T20:48:37+09:00,0,검정도 기본템으로 구매했어요! 검정색이라 추리닝 느낌이 안들고 핏도 예뻐요!,(15)GRAY,M(075)
139516,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-06T20:45:01+09:00,0,편하고 핏도 너무 예뻐요! 핀터깔로 여기저기 입기 좋습니당.,(19)BLACK,M(075)
139515,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-06T19:39:10+09:00,0,핏 정말 이뻐요. 골반이 커서 뚱뚱해보여 보통 추리닝 바지 못입는디 이건 너무 날씬해보이고 길어보이고 다하네요. 색별로 쟁일 예정입니다,(15)GRAY,L(080)
139528,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-06T18:47:22+09:00,0,편하고 예뻐요 예뻐요 엄마거 한개 더 주문하려구요 저는 키가 작은데 밑단 조여도 되니까.굳,(16)LIGHT GRAY,M(075)
139506,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-06T13:34:48+09:00,0,이미 사려고 마음 먹었던 옷이라 사진을 대충 찍어서 그렇지 정말 원하던 핏이에요 .. 🖤 허리밴드도 편하고 밑 스트링을 조이면 커브드핏이 더 살아서 좋아요 ! 꾸안꾸로 추천해요,(16)LIGHT GRAY,M(075)
139443,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-04T13:08:48+09:00,0,기대이상으로 너무 맘에 드네요ㅎㅎ 골반이 있는 편이라 이런 커브드스탈은 엉덩이가 펑퍼짐해보여 싫어했는데 핏이 확실히 다르네요 너무 예쁘고 편해서 교복 될듯싶네요 미쏘 집업과 가죽 자켓으로 매칭해서 입어봤는데 너무 맘에 들어 다른 색깔도 살까 생각중,(16)LIGHT GRAY,M(075)
139395,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-02T10:29:35+09:00,0,그레이 사고 마음에 들어서 차콜도 하나 더 구매했습니다 편한데다 하체 커버해주는 핏이라 좋아요,(60)CHARCOAL,L(080)
139394,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-04-02T10:25:36+09:00,0,편하게 입으려고 조금 넉넉한 사이즈로 샀는데 너무 맘에 들어요,(15)GRAY,L(080)
139317,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-03-30T18:35:25+09:00,0,바지 이거 요물이네요…💕 진심 너무 예뻐서 깔별로 살까 고민중이에요!!!,(16)LIGHT GRAY,M(075)
139004,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-03-21T20:37:22+09:00,0,"와이드핏이라 편하고 핏도 예뻐요 기장도 적당히 길어서 운동화랑 매치하기 좋고 꾸안꾸 느낌으로 잘 입을 것 같아요",(15)GRAY,L(080)
138718,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-03-12T10:51:28+09:00,0,"바지 핏이 너무 예뻐요! 요즘 유행하는 커브드(커브드 핏) 스타일이라서 다리 라인이 예쁘게 떨어지고, 길이도 딱 적당해서 만족합니다. 소재도 괜찮고 전체적으로 퀄리티 좋아요.",(16)LIGHT GRAY,L(080)
138681,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-03-11T14:35:53+09:00,0,그냥 내 최애바지됨 157cm기준으로 길긴한데 조절하면돼서 ㄱㅊ아요 넘 편하고 걍 뭘 입어도 잘 어울림 다른 색으로 또 사고싶어요,(15)GRAY,M(075)
138561,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-03-09T15:26:28+09:00,0,"넉넉한 실루엣의 밴딩 팬츠는 편안함과 스타일을 동시에 잡을 수 있어 선택했습니다! 특히 발등을 덮는 긴 기장과 풍성한 볼륨감이 체형을 자연스럽게 커버해주면서도, 요즘 유행하는 힙하고 빈티지한 무드를 연출하기에 최적의 아이템입니당!  캐주얼한 트레이닝 팬츠지만, 상의로 셔츠나 블라우스를 믹스매치하면 훨씬 감도 높은 데일리룩을 완성할 수 있습니다😊",(16)LIGHT GRAY,M(075)
138548,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-03-08T22:37:25+09:00,0,요즘 제 교복템.. 문신템..이에요 밴딩 팬츠라 확실히 배 쪼임없이 너무 편하고 휘뚤마뚤 아무데나 입을 수 있어서 진짜 손이 자주가요 👍🏻 저처럼 후드집업에 입어도 되고 그냥 니트에 입어줘도 돼요! 은근한 커브가 들어가 있어서 동그란 핏을 연출해주는데 요즘 그게 유행이잖어요~ ㅎ (유행챙기기) 색상도 다양해서 원하는 무드에 맞게 구매하심 될 듯해욤 ,(16)LIGHT GRAY,L(080)
138499,4,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-03-07T16:25:35+09:00,0,핏이 진짜 예쁨 통이 아주 넓지만 허리는 딱 맞음 160이 안되어 기장이 조금 긴게 아쉽 ,(15)GRAY,M(075)
138517,4,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-03-07T16:22:33+09:00,0,굿 품절 풀렸을때 샀는데 핏이 진짜 예쁨 단 나에겐 기장이 살짜구길어서 아쉽. 원단이 얇은 아주 시원함 ㅎ,(15)GRAY,M(075)
138212,5,12212,https://assets6.cre.ma/p/mixxo-cafe24-com/products/00/00/01/29/91/image/extra_small_20b268c05a19a207.webp,커브드 밴딩 팬츠_MIWTMG36SS,5.0,2026-02-26T19:15:45+09:00,0,진짜 핏 너무 이쁩니다….다른색깔로 또쟁임 많이 파셍ㅅ 진짜 후회안합니다,(39)IVORY,M(075)
